Date,Home Team,Home Score,Away Team,Away Score
20190905,CHI,3,GB,10
Team,Type,Yards,Pre-EP,Post-EP,Diff-EP
GB,OP,5,1.795,2.125,0.33000000000000007
GB,DEP,6,-0.718,-0.718,0.0
CHI,DHP,10,0.739,-0.0586999999999999,-0.7976999999999999
GB,DHP,5,0.2,-0.1275,-0.3275
GB,DHP,10,1.063,0.403,-0.6599999999999999
CHI,DEP,38,-0.287,2.221,2.508
GB,DHP,10,2.675,2.015,-0.6599999999999997
GB,DHP,5,1.906,1.576,-0.32999999999999985
GB,DEP,15,-0.7735,1.186,1.9594999999999998
CHI,DHP,10,2.719,2.059,-0.6599999999999997
CHI,DHP,10,2.059,1.399,-0.6600000000000001
CHI,DHP,10,1.399,0.739,-0.66
CHI,DEP,5,2.477,2.807,0.33000000000000007

Team,tPEN(#),tPEN(yards),tDHP(#),tDHP(yards),tEPDHP,tDEP(#),tDEP(yards),tEPDEP,tOP(#),tOP(yards),tEPOP
CHI,6,83,4,40,-2.7777,2,43,2.838,0,0,0
GB,7,56,4,30,-1.9774999999999994,2,21,1.9594999999999998,1,5,0.33000000000000007

Team,Yards/Pen,Yards/DHP,EP/DHP,Yards/DEP,EP/DEP,Yards/OP,EP/OP
CHI,13.833333333333334,10.0,-0.694425,21.5,1.419,N/A,N/A
GB,8.0,7.5,-0.49437499999999984,10.5,0.9797499999999999,5.0,0.33000000000000007
